iter	Logloss
0	0.662951069
1	0.6383257215
2	0.6189651587
3	0.6041390404
4	0.5920912358
5	0.5822462131
6	0.5743313278
7	0.5682885307
8	0.5627498838
9	0.558347659
10	0.5543207466
11	0.5509056066
12	0.5482245585
13	0.5457263381
14	0.5439443875
15	0.5421349667
16	0.5406663508
17	0.5392709536
18	0.538089289
19	0.5369618322
20	0.5359298997
21	0.5349995926
22	0.5341284424
23	0.5332444454
24	0.5325376969
25	0.5318091143
26	0.531167927
27	0.5307134536
28	0.5301485005
29	0.5297084195
30	0.5291983538
31	0.5287545013
32	0.5283245458
33	0.527930231
34	0.5276194417
35	0.5272620571
36	0.526891806
37	0.5265920636
38	0.5262437137
39	0.5259607956
40	0.525674085
41	0.5253776765
42	0.5251557144
43	0.5248346717
44	0.5245681385
45	0.5242742862
46	0.5240415314
47	0.5238235961
48	0.5236575115
49	0.5233790745
50	0.5231734108
51	0.5230314185
52	0.5228268905
53	0.5226533505
54	0.5225022864
55	0.5223096026
56	0.5221718963
57	0.5220118628
58	0.521793661
59	0.5215877025
60	0.521487213
61	0.5213465002
62	0.5211984599
63	0.5210830033
64	0.5209240549
65	0.5207821278
66	0.5206409358
67	0.5204589724
68	0.5203517277
69	0.5202685867
70	0.5201563493
71	0.5200626314
72	0.5199662087
73	0.5198657172
74	0.5197386374
75	0.5196248403
76	0.5194852464
77	0.5193869642
78	0.5192905834
79	0.5192096696
80	0.5191149516
81	0.5190301372
82	0.518924142
83	0.5188445103
84	0.5187695715
85	0.518666745
86	0.5185898509
87	0.5184907172
88	0.51842495
89	0.5183641635
90	0.5183051727
91	0.5182312425
92	0.5181594567
93	0.5180954777
94	0.517997812
95	0.517960414
96	0.5178762987
97	0.5178047352
98	0.517720214
99	0.5176431854
100	0.5175734109
101	0.5175019403
102	0.5174493653
103	0.5174046004
104	0.5173623134
105	0.5173077303
106	0.5172544253
107	0.5172013747
108	0.5171502626
109	0.5170772396
110	0.5169869685
111	0.5169350139
112	0.5168844428
113	0.5168434568
114	0.5167937084
115	0.5167375005
116	0.5167039158
117	0.5166523256
118	0.5166117099
119	0.5165707706
120	0.5165257792
121	0.5164575254
122	0.5164244156
123	0.5163739117
124	0.5162964118
125	0.5162631139
126	0.5162103243
127	0.516161152
128	0.516118959
129	0.5160814632
130	0.5160194003
131	0.5159455045
132	0.5158836152
133	0.51583189
134	0.5157898123
135	0.5157272141
136	0.5156851256
137	0.5156469877
138	0.5155972318
139	0.5155604025
140	0.5155011766
141	0.5154438145
142	0.5154132806
143	0.5153782123
144	0.515336986
145	0.5152899649
146	0.5152179277
147	0.5151754812
148	0.5151300924
149	0.5150884285
150	0.5150508947
151	0.5150124543
152	0.514973821
153	0.514938364
154	0.5149040431
155	0.5148744246
156	0.5148382617
157	0.5148043971
158	0.5147569907
159	0.5146953195
160	0.5146513495
161	0.5146110234
162	0.5145820688
163	0.5145480323
164	0.5145102151
165	0.5144757787
166	0.5144376125
167	0.5143909087
168	0.5143549677
169	0.5143188978
170	0.5142918202
171	0.5142681176
172	0.5142407635
173	0.5142102322
174	0.5141826423
175	0.5141409029
176	0.5141108377
177	0.5140651464
178	0.5140362474
179	0.5139964962
180	0.5139621475
181	0.5139334624
182	0.5139046575
183	0.5138663863
184	0.5138290182
185	0.513799562
186	0.513765066
187	0.5137219364
188	0.513689133
189	0.513655897
190	0.5136291661
191	0.5135927821
192	0.5135571177
193	0.5135249366
194	0.5135019657
195	0.5134618299
196	0.513432601
197	0.5134060363
198	0.5133812198
199	0.5133509588
200	0.5133074721
201	0.5132880661
202	0.513256332
203	0.513230848
204	0.5131995561
205	0.5131634693
