iter	Passed	Remaining
0	204	102073
1	257	64182
2	316	52371
3	376	46712
4	439	43548
5	501	41265
6	557	39269
7	625	38465
8	677	36958
9	737	36143
10	797	35455
11	856	34822
12	933	34964
13	1009	35043
14	1082	35011
15	1154	34922
16	1212	34456
17	1264	33852
18	1313	33255
19	1366	32785
20	1424	32485
21	1479	32153
22	1535	31849
23	1593	31608
24	1648	31321
25	1699	30987
26	1754	30740
27	1805	30439
28	1858	30180
29	1908	29906
30	1963	29711
31	2014	29467
32	2073	29349
33	2123	29099
34	2184	29027
35	2243	28917
36	2298	28766
37	2349	28561
38	2405	28433
39	2457	28257
40	2510	28104
41	2564	27966
42	2629	27950
43	2695	27933
44	2758	27891
45	2809	27728
46	2858	27555
47	2915	27453
48	2966	27301
49	3022	27201
50	3082	27137
51	3138	27043
52	3198	26978
53	3255	26890
54	3322	26879
55	3390	26882
56	3465	26931
57	3526	26871
58	3577	26742
59	3629	26616
60	3688	26541
61	3747	26472
62	3803	26384
63	3862	26314
64	3922	26252
65	3979	26170
66	4039	26108
67	4106	26090
68	4174	26075
69	4240	26046
70	4303	26005
71	4376	26018
72	4429	25908
73	4489	25846
74	4549	25782
75	4607	25705
76	4663	25618
77	4719	25534
78	4780	25475
79	4841	25419
80	4891	25302
81	4947	25219
82	5003	25139
83	5069	25107
84	5120	25000
85	5175	24912
86	5233	24842
87	5286	24750
88	5341	24665
89	5393	24568
90	5454	24517
91	5513	24450
92	5578	24411
93	5633	24331
94	5682	24225
95	5737	24144
96	5792	24064
97	5843	23968
98	5894	23874
99	5938	23755
100	5997	23693
101	6050	23607
102	6111	23556
103	6171	23497
104	6233	23451
105	6291	23386
106	6344	23302
107	6395	23213
108	6444	23119
109	6499	23044
110	6556	22977
111	6620	22934
112	6682	22885
113	6733	22800
114	6790	22734
115	6845	22659
116	6897	22578
117	6955	22517
118	7014	22456
119	7071	22394
120	7139	22361
121	7196	22296
122	7249	22219
123	7308	22162
124	7359	22079
125	7420	22026
126	7477	21961
127	7542	21919
128	7594	21842
129	7643	21755
130	7694	21674
131	7746	21595
132	7796	21514
133	7860	21469
134	7913	21394
135	7962	21312
136	8025	21263
137	8084	21206
138	8129	21114
139	8184	21045
140	8238	20976
141	8300	20926
142	8363	20878
143	8419	20813
144	8473	20744
145	8522	20663
146	8584	20615
147	8641	20552
148	8705	20508
149	8758	20436
150	8814	20371
151	8874	20317
152	8932	20259
153	8986	20191
154	9056	20158
155	9111	20092
156	9169	20032
157	9221	19961
158	9281	19906
159	9336	19839
160	9395	19783
161	9445	19706
162	9494	19629
163	9558	19582
164	9612	19517
165	9669	19456
166	9730	19402
167	9788	19343
168	9845	19282
169	9901	19221
170	9955	19153
171	10015	19099
172	10072	19039
173	10132	18983
174	10200	18944
175	10255	18879
176	10306	18807
177	10368	18756
178	10423	18691
179	10484	18639
180	10531	18561
181	10588	18500
182	10646	18441
183	10700	18376
184	10752	18307
185	10809	18248
186	10874	18202
187	10936	18149
188	10997	18096
189	11064	18052
190	11132	18010
191	11186	17945
192	11251	17897
193	11312	17843
194	11384	17805
195	11448	17757
196	11507	17699
197	11568	17645
198	11635	17599
199	11700	17550
200	11752	17483
201	11811	17424
202	11870	17367
203	11933	17315
204	11987	17250
205	12067	17223
206	12129	17168
207	12187	17109
208	12250	17056
209	12309	16998
210	12365	16937
211	12427	16882
212	12483	16819
213	12556	16780
214	12625	16736
215	12686	16680
216	12764	16646
217	12836	16605
218	12894	16545
219	12960	16495
220	13013	16428
221	13072	16369
222	13139	16321
223	13206	16272
224	13287	16240
225	13354	16191
226	13402	16118
227	13464	16063
228	13521	16001
229	13589	15953
230	13658	15905
231	13736	15868
232	13818	15835
233	13894	15794
234	13958	15740
235	14023	15687
236	14084	15630
237	14146	15573
238	14203	15510
239	14253	15441
240	14309	15378
241	14368	15318
242	14425	15256
243	14476	15188
244	14538	15132
245	14597	15072
246	14657	15013
247	14719	14957
248	14772	14891
249	14832	14832
250	14892	14773
251	14952	14715
252	15023	14666
253	15090	14614
254	15149	14555
255	15219	14505
256	15281	14449
257	15343	14392
258	15397	14327
259	15461	14272
260	15521	14213
261	15591	14163
262	15651	14104
263	15716	14049
264	15778	13992
